,default,chi,echo,gin,fiber
0 ms,370267.11,356786.11,375172.84,353897.64,337954.96
10 ms,369600.87,356869.13,375328.15,371346.09,367454.55
100 ms,383404.60,397471.93,395880.04,386764.71,368518.87
500 ms,367082.71,390126.88,359419.62,374503.98,394775.85
