,default,chi,echo,gin,fiber
0 ms,367036.73,367433.90,360962.33,361192.50,360199.06
10 ms,358582.88,350579.44,357828.99,355562.43,337080.85
100 ms,335740.22,344763.08,357844.61,374509.41,356593.69
500 ms,355916.13,352029.65,356254.65,359759.28,368173.87
